Source,Target,Type,Kind,Id,Label,timeset,Weight
@thetaiwo69,@pepsi_naija,Directed,Mention,3909,,"<[2021-05-29T19:47:09.076Z, 2021-05-29T19:47:14.168Z, 2021-05-29T19:47:18.115Z, 2021-05-29T19:47:52.319Z, 2021-05-29T19:47:53.071Z, 2021-05-29T19:48:04.342Z, 2021-05-29T19:48:06.034Z, 2021-05-29T19:48:11.155Z, 2021-05-29T19:49:19.283Z, 2021-05-29T19:49:22.435Z, 2021-05-29T19:49:40.533Z, 2021-05-29T19:49:42.813Z, 2021-05-29T19:53:39.866Z]>",14
@dejiplus,@marca,Directed,Mention,3923,,<[2021-05-29T19:47:09.166Z]>,1
@dejiplus,@marca,Directed,Retweet,3924,,<[2021-05-29T19:47:09.167Z]>,1
@petrelli86,@mancityes,Directed,Quote,3928,,"<[2021-05-29T19:47:09.169Z, 2021-05-29T19:48:22.148Z, 2021-05-29T19:49:37.154Z, 2021-05-29T19:49:37.277Z, 2021-05-29T19:53:04.232Z]>",5
@vickyyberry,@goal,Directed,Mention,4054,,"<[2021-05-29T19:47:11.007Z, 2021-05-29T19:47:54.381Z]>",2
@vickyyberry,@goal,Directed,Retweet,4055,,"<[2021-05-29T19:47:11.007Z, 2021-05-29T19:47:54.381Z]>",2
@natushalandia,@chelseafc_sp,Directed,Quote,4084,,<[2021-05-29T19:47:11.329Z]>,1
@theboyduduus,@lnstantfoot,Directed,Mention,4096,,<[2021-05-29T19:47:11.868Z]>,1
@theboyduduus,@lnstantfoot,Directed,Quote,4097,,<[2021-05-29T19:47:11.868Z]>,1
@theboyduduus,@lnstantfoot,Directed,Retweet,4098,,<[2021-05-29T19:47:11.868Z]>,1
@agbesomebody,@tundetash,Directed,Mention,4108,,<[2021-05-29T19:47:11.930Z]>,1
@agbesomebody,@tundetash,Directed,Retweet,4109,,<[2021-05-29T19:47:11.930Z]>,1
@theraredeluxe,@sgchartupdate,Directed,Mention,4137,,<[2021-05-29T19:47:12.209Z]>,1
@theraredeluxe,@selenagomez,Directed,Mention,4138,,<[2021-05-29T19:47:12.209Z]>,1
@theraredeluxe,@sgchartupdate,Directed,Retweet,4139,,<[2021-05-29T19:47:12.209Z]>,1
@sgchartupdate,@selenagomez,Directed,Mention,4140,,"<[2021-05-29T19:47:12.209Z, 2021-05-29T19:47:20.378Z, 2021-05-29T19:49:28.205Z, 2021-05-29T19:52:08.324Z]>",4
@samuelojor1,@goal_asia_,Directed,Mention,4141,,<[2021-05-29T19:47:12.228Z]>,1
@samuelojor1,@goal_asia_,Directed,Retweet,4142,,<[2021-05-29T19:47:12.228Z]>,1
@talkchelseauk,@chelseafc,Directed,Mention,4190,,"<[2021-05-29T19:47:13.039Z, 2021-05-29T19:53:20.925Z]>",2
@abipluse,@goal,Directed,Mention,4195,,<[2021-05-29T19:47:13.043Z]>,1
@abipluse,@goal,Directed,Retweet,4196,,<[2021-05-29T19:47:13.043Z]>,1
@agbesomebody,@ogbenidipo,Directed,Mention,4207,,<[2021-05-29T19:47:13.079Z]>,1
@agbesomebody,@ogbenidipo,Directed,Retweet,4208,,<[2021-05-29T19:47:13.079Z]>,1
@joekaiyahe,@omojuwa,Directed,Mention,4229,,<[2021-05-29T19:47:13.912Z]>,1
@joekaiyahe,@omojuwa,Directed,Retweet,4230,,<[2021-05-29T19:47:13.912Z]>,1
